,question,category,answer,choices/0,choices/1,choices/2,choices/3
285,"On May 28, 2006 Barry Bonds hit his 715th career homerun against which National League team?",history,Colorado Rockies,San Diego Padres,New York Mets,Atalanta Braves,Colorado Rockies
286,The North and South (between Maryland and Pennsylvania) were separated by what famous line?,history,The Mason-Dixon Line,The Dixon Divide,The Underground Railroad,The Line of Freedom,The Mason-Dixon Line
287,Which northern state was last to make slavery illegal?,history,New Jersey,New York,New Jersey,Pennsylvania,They all made it illegal at the same time
288,Who was President of the USA when the Korean War began?,history,Harry Truman,Dwight Eisenhower,Harry Truman,John Kennedy,Franklin D. Roosevelt
289,Approximately how long was The Spanish-American War?,history,3-4 months,2 years,3 years,11-12 months,3-4 months
290,"Which war, fought in the 20th century, is sometimes referred to as The Forgotten War?",history,Korean War,World War I,Gulf War,Korean War,Spanish-American War
292,"Which battle, fought in Europe during WWII, started on December 16, 1944?",history,Battle of the Bulge,Battle of the Bulge,Battle of Normandy (D-Day),Battle of Berlin,Battle of Stalingrad
295,"North Vietnamese troops entered this South Vietnamese city, marking the unofficial end to the Vietnam War in 1975.",history,Saigon,Saigon,Dong Nam Bo,Vinh,Nha Trang
296,What event sparked the beginning of the United States War on Terror?,history,The terrorist attacks of September 11,World Trade Center bombing of 1993,The terrorist attacks of September 11,George W. Bushs victory in the 2000 election,None of these
297,Which of the following is the longest war in American history?,history,Vietnam War,Civil War,Gulf War,Vietnam War,American Revolution
298,The Allies and Axis were the two main opponent powers in the Second World War. Which of these leaders and his country were on the side of the Axis powers?,history,Benito Mussolini,Benito Mussolini,Franklin Delano Roosevelt,Winston Churchill,Dwight Eisenhower
299,This politician was the British Prime Minister who declared war on Germany in 1939.,history,Neville Chamberlain,Winston Churchill,Neville Chamberlain,Erwin Rommel,Kurt Student
300,Operation Torch was planned to bring Morocco and Algiers under the Alliesâ domination. Who was the general in charge of the operation?,history,Dwight Eisenhower,Paul Tibbets,Chuichi Nagumo,Erwin Rommel,Dwight Eisenhower
301,"The attack on Pearl Harbour was carried out on December 7, 1941, causing the United States to enter the war on the side of the Allies. Who was president of the USA at that time?",history,Franklin D. Roosevelt,Winston Churchill,Theodore Roosevelt,Franklin D. Roosevelt,William McKinley
302,Which of the following leaders was not present at  The Yalta Conference that took place in February 1945.,history,Mao Zedong,Winston Churchill,Franklin Roosevelt,Joseph Stalin,Mao Zedong
303,"This German military leader led the Sixth Army at the siege of Stalingrad. After months of siege, he was defeated and surrendered to the Russians.",history,Friedrich Paulus,Friedrich Paulus,Karl Donitz,Joseph Goebbels,Heinrich Himmler
304,"In August 1944, the German forces in Paris surrendered to this French general who led a military unit from Normandy.",history,Leclerc,Darlan,Zedong,Leclerc,Patton
305,"This major Nazi leader, called by his supporters âFuhrerâ (leader), committed suicide in his bunker on April 30, 1945 in order not to be caught by the Allied forces.",history,Adolf Hitler,Adolf Hitler,Friedrich Paulus,Reinhard Heydrich,Benito Mussolini
306,"During World War II, this politician was the powerful leader of the Soviet Union, the country which suffered a record death toll in the war.",history,Joseph Stalin,Joseph Stalin,Vyacheslav Molotov,Nikita Khruschev,Leonid Brezhnev
307,"This man became U.S. Secretary of State after the Second World War. He developed a reconstruction plan, later named after him, to help the European countries recover after the war.",history,George Marshall,F. D. Roosevelt,George Marshall,Dwight Eisenhower,Karl Donitz
308,In February 1992 this treaty was signed. It established the European Union.,history,Maastricht Treaty,Merger Treaty,Maastricht Treaty,Treaty of Rome,Treaty of Amsterdam
309,One of these historically influential political books was first published in February 1848. Its authors are Friedrich Engels and Karl Marx.,history,The Communist Manifesto,The Holy Family,The Communist Manifesto,Revolution and Counter-Revolution in Germany,Das Kapital
310,In February 1997 the first movie without commercial interruption was shown on US TV. This is the movie.,history,Schindlers List,Saving Private Ryan,Schindlers List,Back to the Future,The Civil War
311,"The first book edition of the detective story, The Valley of Fear, was released in February 1915. This is its author.",history,Sir Arthur Conan Doyle,Raymond Chandler,Agatha Christie,Sir Arthur Conan Doyle,Dashiell Hammett
312,"In February of this year, the last episode of M*A*S*H was broadcast.",history,1983,1979,1985,1983,1974
314,In February 1924 President Woodrow Wilson died at this age.,history,67,41,67,82,70
315,"In February 1952, the first Dont Walk sign was installed in this city.",history,New York City,Washington,Chicago,Los Angeles,New York City
316,The Yalta Conference ended in February 1945 . Do you know when it started?,history,February 1945,December 1944,February 1945,January 1945,November 1944
317,The English director Alfred Hitchcocks first suspense film was released in February 1927. This was the name of the movie.,history,The Lodger,The Manxman,Murder!,The Lodger,The 39 Steps
318,"The greatest fame for this actress, who passed away in 2000, came when she starred as Margaret Pynchon opposite Edward Asner in Lou Grant.",history,Nancy Marchand,Nancy Marchand,Nancy Sinatra,Nancy Reagan,Nancy Walker
319,"What star of Willowâ  who passed away in 2000, founded the organization Little People of America in 1957?",history,Billy Barty,Jerald Laverne,Jerry Lavish,Billy Marty,Billy Barty
320,"This actor, who died in 2000, played the role of Major Frank Burns on the TV series M.A.S.H.",history,Larry Linville,Harry Morgan,Larry Gelbert,Alan Alda,Larry Linville
321,"His first film role was The Kentuckian. His Broadway appearance in Neil Simons Odd Couple launched his career, but many remember him as one of the Grumpy Old Men. Who was this great actor?",history,Walter Mattheau,Jack Lemmon,Burgess Meredith,Ozzie Davis,Walter Mattheau
323,"He made films from 1916 to 1939 and was married to Joan Crawford. His fathers name helped him launch his career, however Charlie Chaplin took a liking to him and the rest is history. What is the name of this actor who passed away in 2000?",history,Douglas Fairbanks Jr.,Clark Gable,Spencer Tracy,Douglas Fairbanks Jr.,Buster Keaton
324,"In what year did the following events take place: Jonas Salk began testing his polio vaccine on volunteers, including his wife, his children and himself. The first animal, a tadpole, was cloned. The New York Yankees defeated the Brooklyn Dodgers in the World Series.",history,1952,1956,1950,1952,1954
325,Which one of these events did not happen in the same year as the others?,history,"Barry Gordy, Jr. invested $700 in founding Motown Records",The novel Peyton Place was published,"Barry Gordy, Jr. invested $700 in founding Motown Records",Allen Ginsberg publishes the book Howl and Other Poems,Elvis Presley recorded the song Hound Dog
326,Who was the first person to be U.S. President of 50 states?,history,Eisenhower,Kennedy,Nixon,Eisenhower,Truman
327,Which of these events did not occur in 1957?,history,Sputnik III was launched and circled the Earth eleven times.,Sputnik III was launched and circled the Earth eleven times.,"Leave It to Beaver, a TV show about  idyllic American life, first aired.","Charles Van Doren won $129,000 on the TV show Twenty-One.",The great Jackie Robinson retired from baseball
328,Who commanded the three B-52 Stratofortresses which made the first globe-circling nonstop flight in 1957?,history,Major General Archie J. Old,Major General Archie J. Old,Lt. Col. Alan Shepard,Col. Carl  V. Jaeger,General William W. Donavan
329,Which list contains only countries which formed the European Economic Community?,history,"France, West Germany, Italy, The Netherlands, Belgium, and Luxembourg","Spain, France, Austria, West Germany, Finland, and Portugal","Denmark, Sweden, The Netherlands, England, Belgium, and Luxembourg","Sweden, France, Italy, Austria, West Germany, and Spain","France, West Germany, Italy, The Netherlands, Belgium, and Luxembourg"
330,"Which Ohio-born singer was famous with the hits Music! Music! Music!, Molasses, Molasses, and Youll Never Get Away?",history,Teresa Brewer,Shelly Fabres,Teresa Brewer,Brenda Lee,Connie Francis
331,Which of these events did not  happen in 1950?,history,General Dwight D. Eisenhower is elected President.,CBS got an FCC license to broadcast in color nation-wide.,Both Pillsbury and general Mills begin selling cake mixes.,Charles Schultz introduces Peanuts .,General Dwight D. Eisenhower is elected President.
332,Which one of these events did not happen in 1955?,history,The Korean War is formally ended.,The McGuire Sisters have a #1 hit with Sincerely.,"Rosa Parks refuses to give up her seat to a white woman in Montgomery, Alabama.",The Korean War is formally ended.,The American Federation of Labor and the Congress of Industrial Organizations merged
333,Which of the following statements is not correct?,history,The movie The Third Man was a financial flop when it  was released in 1951.,"Burt Lancaster starred in Vera Cruz, His Majesty OKeefe and Apache.","Expresso Bongo, Rock, Rock, Rock,  and Hot Rod Girl were all popular teenage movies in the 1950s.",The movie The Third Man was a financial flop when it  was released in 1951.,"The 1955 movie,Marty, became the shortest film to win the Best Movie Oscar."
334,"One of the most famous cases of poisoning is that of the Bulgarian Georgi Markov, who was poisoned by ricin. The latter was inserted into his body through this.",history,Stabbing with an umbrella,Stabbing with an umbrella,Taking ricin by mistake,Eating a cake with ricin in it,Inhaling ricin vapours
335,"One of the most popular fictional cases of poisoning occurs in the movie Arsenic and Old Lace, based on a play by this playwright.",history,Joseph Kesselring,David Mamet,David Auburn,Joseph Kesselring,Edward Albee
336,"A fictional case of poisoning is observed in Agatha Christies And Then There Were None. In the novel, this character dies of poisoning.",history,Emily Brent,Dr. Edward George Armstrong,Emily Brent,William Henry Blore,Philip Lombard
337,"Arsenic became a popular murder weapon in the Middle Ages, because symptoms resembled those of this disease.",history,Cholera,Pneumonia,Plague,Cholera,Leprosy
338,There is a theory that Napoleon Bonaparte was poisoned with this substance.,history,Arsenic,Ethanol,Formaldehyde,Arsenic,Strychnine
340,"Until the French Revolution, this torture device was used to execute those accused of treason. It was also used on nobles to provide a swift and humane death.",history,Guillotine,Rack,Iron Maiden,Guillotine,Hanging cage
341,This instrument of torture was thrust into the victimsâ chin and sternum rendering them motionless.,history,The Heretics Fork,The Princes Prod,The Sorcerers Staff,The Kings Spear,The Heretics Fork
342,This pyramid-shaped seat was used to extract confessions from the victims who were placed on top of it.,history,The Judas Cradle,The Iron Spike,The Swing of Death,The Point of No Return,The Judas Cradle
343,"This torture device was used to rip the victimâs flesh to shreds. Once this was accomplished, the victim would be left to dangle alive, with arms bound, left at the mercy of flies and other insects.",history,Cats paws,The shredder,Cats claws,The claw,Cats paws
345,This mobile chamber was used all over Europe as a final resting place for criminals who survived other torture devices. The victims of this device would often starve to death.,history,The hanging cage,The hanging cage,The death dorm,The iron cage,The death chamber
346,This device was commonly used on witches who were believed to be carrying the Satanâs child.,history,The saw,The pear,The sword,The blade,The saw
347,He was one of the founders of the YIPPIES and helped announce the candidacy of Pigasus the Pig in Chicago during the 1968 Democratic National Convention. Who was the author of Steal This Book?,history,Abbie Hoffman,Abbie Hoffman,Bobby Seale,Tom Hayden,David Dellinger
348,"Just like Ivory Soap, his product was supposed to be over 99% pure. This gentleman, the grandson of a United States Senator, was the first underground chemist to produce pure LSD in mass quantity. Who was the sound man and chemist for the Grateful Dead?",history,Owsley Stanley,Wavey Gravey,Owsley Stanley,Country Joe,Jerry Garcia
349,What  woman became the third female to make the FBIs 10 Most Wanted List on August 18th 1970 when she went on the run after her alleged participation in the kidnapping and murder of Judge Harold Harley from the Marin County Hall of Justice?,history,Angela Davis,Susan Saxe,Ruth Eisemann-Schier,Bernadine Dorn,Angela Davis
350,"In 1970, in a span of 72 hours, how many women made the FBIS 10 Most Wanted List?",history,3,5,2,3,4
351,"Tin soldiers and Nixon coming
Were finally on our own.
are the beginning lyrics of a Neil Young song about one states national guard firing into a group of student protesters. On what college campus did a tragic shooting leave four college students dead?",history,Kent State University,University of California at Berkley,Boston College,Ohio State University,Kent State University
352,Name the first great Greek tragic playwright who is now acknowledged as the Father of Drama?,history,Aeschylus,Aeschylus,Aesop,Euripides,Sophocles
353,Which Greek historian is known as the Father of History?,history,Herodotus,Plato,Herodotus,Titus,Isocrates
354,Which Athenian politician and general led the disastrous attack on Spartan bases in Sicily?,history,Alcibiades,Spartacus,Galen,Alcibiades,Leonidas
355,Who was the father of Alexander the Great?,history,Philip II,Hercalesian III,Triton,Philip II,Lysander
356,Who was the king of Sparta and leader of the 300 Spartans at the famous battle at Thermopylae?,history,Leonidas,Aristides,Pericles,Leonidas,Philip I
357,Name Alexander the Greats favorite horse.,history,Bucephalus,Xerxes,Sargon,Bucephalus,Hammurabi
358,"Who was the statesman who re-codified the laws of Athens to make them more humane, and set the city on the road to democracy?",history,Solon,Pericles,Draco,Phidias,Solon
359,"Which Athenian sculptor, who worked almost exclusively with bronze, created the classic statue, The Discus Thrower?",history,Myron,Polyclitus,Myron,Phidias,Hesoid
360,Who was the faithful wife of Odysseus who waited 20 years for his return from the Trojan War?,history,Penelope,Penelope,Mentor,Aspasia,Telemachus
361,"This Victorian politician, best remembered as the originator of the modern police force, sought to repeal the Corn Laws as a measure to fight the Irish potato famine.",history,Sir Robert Peel,George Anning,Sir Robert Peel,Sir Arthur Wellesly,Lord Goderich
362,"The Great Exhibition, a symbol of the Victorian Age, was held in London in what year?",history,1851,1900,1862,1850,1851
363,"This British engineer is best known as the creator of the Great Western Railway, during the Victorian Age.",history,Isambard Kingdom Brunel,R.P. Brereton,Isambard Kingdom Brunel,Henry Robinson Palmer,George Stephenson
364,"This woman was a Victorian era feminist, especially concerned with the welfare of working girls.",history,Josephine Butler,Anne Clough,Josephine Butler,Emily Davies,Frances Buss
365,This person attempted to assassinate Queen Victoria during her first pregnancy.,history,Edward Oxford,John William Bean,Edward Oxford,John Francis,William trounce
366,"Issued during the Victorian period, it is the name of the worlds first official adhesive postage stamp.",history,Penny Black,Penny Red,Penny Gold,Penny Black,Penny Blue
367,"This vessel, one of the symbols of progress during the Victorian Era, was the first steam ship purposely built for Atlantic crossing.",history,SS Great Western,SS Sirius,SS British Queen,SS Great Britain,SS Great Western
368,"The Salvation Army, a world-wide charity organization, was established in what year?",history,1865,1835,1895,1865,1885
369,He served as the head of the London Metropolitan Police during the period of the Jack the Ripper Murders.,history,Sir Charles Warren,Godfrey Lushington,Sir Charles Warren,James Monro,Sir Edmund Henderson
370,"Name the British socialist intellectual movement, among whose members was the famous Irish playwright Bernard Shaw.",history,Fabian Society,Victorian Socialist Society,League for Social Reconstruction,Fabian Society,The Fellowship of the New Life
371,"This famous siege took place in 1453 under the command of Sultan Mehmed II. It marked the end of the Eastern Roman Empire and made Ottoman rule over the Balkans and Eastern Mediterranean inevitable. Although the city was one of the richest in the world and was thought to be impregnable, Mehmed II marched through its streets and was later nick-named the Conqueror. What was the name of this great city?",history,Constantinople,Constantinople,Damascus,Rome,Vienna
372,"Christopher Columbus reached the Americas in 1492, dooming the fate of native inhabitants. The siege of Tenochtitlan marked the end of one of the mightiest American civilizations- the Aztec Empire. This was the name of the conquistador that defeated the Aztecs.",history,Hernan Cortes,Francisco Pizarro,Pedro de Alvarado,Hernan Cortes,Panfilo de Narvaez
374,"Jeanne dArc was a 17-year old girl with no knowledge on military strategics. However, her self-sacrifice and strong belief in God inspired many French victories in the Hundred Years War. This siege was her first victory.",history,The siege of Orleans,The siege of Paris,The siege of Patay,The siege of Orleans,The siege of Calais
375,"Certainly one of the most famous sieges is the siege of Troy. Although archaeologists are not sue whether or not it really happened, there is evidence that the siege is not merely mythological. According to legends, who killed the Greek hero Achilles?",history,Paris,Paris,Priam,Ajax,Hector
377,"This city was besieged twice- once in 1854 by the Ottoman Empire and a second time in 1942 by Germany. During the second siege, the defenders were attacked by the largest gun ever to be completed. The Germans even used gas against the defenders of the city and yet it withstood the siege for 250 days.",history,Sevastopol,Paris,Sevastopol,Moscow,Warsaw
378,"In 1847 Veracruz, one of the most important Mexican seaports, was besieged for 20 days. The beginning of the siege was marked when this country conducted its first large-scale amphibious assault on it.",history,The United States,France,Argentina,Great Britain,The United States
380,"German forces besieged the city of Leningrad for 900 days, trying to gain control without success. The bravery of the defenders of the city became the symbol of the Soviet struggle against Nazi Germany, but the exact number of Russian casualties is unknown- some estimate that 1.5 million people died, mostly of starvation. Which of these Soviet generals is credited with the defense of Leningrad?",history,Marshal Zhukov,Marshal Zhukov,Marshal Timoshenko,Marshal Shaposhnikov,Marshal Tukhachevsky
381,"The Concert for Bangladesh was the first celebrity concert and musical project to raise money worldwide for the needy. Eric Clapton, Badfinger, Billy Preston and Ravi Shankar appeared. Bob Dylan made an unannounced appearance to play his first concert in two years. Who organized the Concert for Bangladesh?",history,George Harrison,Willie Nelson,Ringo Starr,George Harrison,Bono
382,"On April 30, 1975 Marine Master Sergeant John Valdez was the last Marine on the last helicopter out of this capital city. From what city did Master Sergeant Valdezs departure signal the last official military presence in Vietnam.",history,Saigon,Phnom Penh,Hanoi,Khe Sanh,Saigon
383,"In what was billed as the Battle of the Sexes, tennis champ Billie Jean King didnt show any love as she won this match in straight sets. Who did Billie Jean King beat to win the Battle of the Sexes?",history,Bobby Riggs,Vitas Gerulaitis,Bobby Riggs,Bjorn Borg,Jimmy Conners
384,"On February 28, 1983 a record 105.9 million viewers tuned in to watch the last show of this programs eleven-year run.",history,MASH,Roots,MASH,Dallas,Gunsmoke
385,"First photographed by Richard Avedon, this campaign was one of the most famous and successful ad campaigns of the 70s. The ads features beautiful black and white photos of Judy Garland, Marlene Dietrich, Lauren Bacall and Barbra Streisand. What company asked the question What Becomes a Legend Most?",history,Blackglama,Psychedelic Furs,Famous Furs LTD,Blackglama,Ritz Furs
386,"It was just the musical chords of E and F played alternately back and forth but even to this day
when you hear these chords you think DANGER. For what 1975 summer blockbuster did composer John Williams win an Oscar for Best Score?",history,Jaws,Halloween,Jaws,E.T.,Jurassic Park
387,How many people were murdered as a result of the Salem Witch Trials?,history,20,40,1000,2000,20
389,How old was Giles Cory when he was pressed to death?,history,81,74,103,81,29
390,"Dorothy Good, who was the youngest person to be accused of witchcraft, was how old?",history,4,12,an infant,4,21
391,To what prominent religious group did the majority of people of Salem Village belong during the time of the notorious Salem witch trials in the 17th century?,history,Puritans,Calvinists,Puritans,Protestants,Catholics
392,Which well-known author changed his name as a result of the Salem Witch Trials?,history,Nathaniel Hawthorn,Jane Austen,Arthur Miller,Theodore Geisel,Nathaniel Hawthorn
394,Who was the first man to be accused of witchcraft?,history,John Proctor,Samuel Good,Giles Cory,John Proctor,George Burroughs
397,"Li Ka Shing, a Hong Kong businessman and one of the worlds richest men, paid an extremely large ransom for the safe return of his son, Victor Li Tzar. How much did he pay?",history,"134,000,000.00","$1,500,500.00","144,000,000.00","$125,000,000.00","134,000,000.00"
398,"The son of this famous singer was kidnapped on December 8, 1963 at Harrahs Lake Tahoe.",history,Frank Sinatra,Joey Bishop,Dean Martin,Andy Williams,Frank Sinatra
399,"On May 2 1982,  the British nuclear submarine HMS Conqueror fired two torpedoes at the Argentine warship.  323 men of the 1,093 crew were killed on impact.",history,General Belgrano,General Belgrano,Bismarck,Fascination,Lusitania
400,"On July 30, 1865 along the beaches of California, off Crescent City, a summer storm developed and this ship came across a submerged pinnacle known as The Dragons Teeth.",history,Brother Jonathan,Titanic,Saratoga,Queen Mary,Brother Jonathan
401,"Two years after Titanics tragic sinking - In the summer of 1914 - this ship started a journey from Quebec harbor to England.  A heavy fog hid the horizon and she was hit by the Storstad, a Norwegian collier. Only 465 of the 1500 people onboard survived.",history,The Empress of Ireland,Half Moon,The Empress of Ireland,Queen Elizabeth,Endeavour
402,"This vessel sunk in lake Michigan in 1919, after a fire on board got out of control.",history,Frank OConnor,Louisiana,Carrington,Fleetwing,Frank OConnor
403,"In a shipwreck known as this, a Chinese merchant ship carrying  porcelain sank near an island in South Male Atoll In the 16th century.",history,Guraidhoo Wreck,Cape of Good Hope Wreck,Prazer E Allegria Wreck,Persia Merchant Wreck,Guraidhoo Wreck
404,"On May 7th, 1915 this famous ship was hit by a torpedo near the shore of Queenstown, Ireland. It sank in 15 minutes.",history,Lusitania,Andrea Doria,Lusitania,Britannic,Titanic
405,"On November 8, 1843 this ship left Lisbon, Portugal, with 84 convicts and headed for Goa, India. Near Cape of Good Hope the ship was taken by a strong current and was driven too close to the shore. She then struck the reef off Muli Island in Mulaku Atoll.",history,The Prazer e Allegria,The Empress of Ireland,Titanic,The Ravestein,The Prazer e Allegria
406,"During a hot night in  August 1658, this ship was wrecked on Maamakunudhoo Atoll, while en route to Bengal. There was a small treasure onboard this ship: eight chests of silver and gold from West Africa.",history,The Persia Merchant,The Persia Merchant,Santa Maria,Adventure,Queen Annes Revenge
407,"Said unsinkable, this ship started her maiden voyage with 2,220 passengers aboard in 1912. Unfortunately this was her first and her last voyage - she hit an iceberg and sank.",history,Titanic,The Empress of Ireland,Titanic,Queen Annes Revenge,Blackbeards Ship
408,"On July 19, 1545 King Henry VIII prepared to watch the new pride of his fleet sail out to engage the French.  However, he ended up watching a disaster as this heavy ship heeled over and rapidly capsized when water poured into the lower gun ports.",history,Mary Rose,Mary Rose,Belgrano,Queen Mary,Lusitania
409,The First Triumvirate is the name historians give to the unofficial political alliance between what three man?,history,"Marcus Licinius Crassus, Gnaeus Pompeius Magnus and Gaius Julius Caesar","Marcus Licinius Crassus, Gnaeus Pompeius Magnus and Gaius Julius Caesar","Gaius Julius Caesar, Anthony and Gnaeus Pompeius Magnus","Octavius, Lepidus and Anthony","Octavius, Lepidus and Gnaeus Pompeius Magnus"
410,"Which temperature scale came first, Fahrenheit or Celsius?",history,Fahrenheit,They were developed at  the same time,They were developed so close together that no one knows,Fahrenheit,Celsius
411,In what year was slavery banned in the British colonies?,history,1833,1802,1833,1864,1865
412,"Samuel Colt patented his revolver in this year, and later built the first industrialized firearm factory.",history,1835,1855,1825,1845,1835
413,"Although it had been around for a long time, it was not until this person used chloroform, that it became a popular anesthetic.",history,Queen Victoria,Dr. Elizabeth Blackwell,Mary Todd Lincoln,Queen Victoria,Sarah Bernhard
414,"The first photograph is considered to be an image produced by the French inventor NicÃ©phore NiÃ©pce, in what year?",history,1826,1865,1546,1837,1826
415,When was the first internal combustion engine to run on a mixture of explosive gas and air designed?,history,1859,1876,1794,1859,1879
416,"The first Balfour Declaration, UKs committment to the establishment of a Jewish national home was issued in what year?",history,1917,1947,1936,1905,1917
417,"Having been forgotten on the Treaty of Versailles and remaining legally at war, this country signed an official treaty with Germany, thus officially ending WW I .",history,Andorra,Andorra,Spain,Portugal,Luxembourg
418,"What product was registered with the United States Patent and Trademark Office on October 27 in 1970, by the Van Brode Milling Company?",history,Spork,Velcro,Spork,Crazy Glue,Wonderball
420,"This tool was originally made in Germany, but in 1896, after 5 years of hard work, Karl Elsener doubled its features.",history,The Swiss army knife,The lawn sprinkler,The circular saw,The Swiss army knife,The electric chair
421,"This engineer, sometimes called The Father of Cool, invented the modern air conditioning system, soon after he graduated from Cornell University in 1901.",history,Willis Carrier,Willis Carrier,Thomas Adams,George Alcorn,Andrew Alford
422,"What object, often regarded as a symbol of American consumerism, was designed in 1957 by Don Featherstone, who was later awarded the Ig Nobel Prize, a parody of the Nobel Prize?",history,The pink flamingo lawn ornament,Velcro,The cordless router,The smiley face,The pink flamingo lawn ornament
423,Peter Lymburner Robertson received a patent in 1909 for the invention of what tool?,history,The square-headed screwdriver,The electric chair,The automatic swimming pool filter,The swiveling lawn sprinkler,The square-headed screwdriver
424,"What device was invented in 1879 by James Ritty, the owner of a tavern in Dayton, Ohio?",history,The cash register,The electric chair,The microwave oven,The jukebox,The cash register
425,"She was the first African American woman to get a patent. It was issued on July 14, 1885, for a cabinet bed.",history,Sarah Goode,Bessie Coleman,Rosemarry Donalds,Emily Edwards,Sarah Goode
426,"This American woman, who worked as a physical therapist, invented a device that could be used by veteran soldiers, who had lost their arms. It was an electrical apparatus that could deliver food through a tube.",history,Bessie Blount Griffin,Billie M. Merriwether,Barbara Carruthers,Bessie Blount Griffin,Bethany Alcott
427,"He was the inventor of condensed milk. In 1874 he died in Texas, in a county which was posthumously named after him.",history,Gail Borden,Immanuel Nobel,Jack Johnson,Karl K. Schumlegel,Gail Borden
428,What was the real name of General Stonewall Jackson?,history,Thomas Jonathan Jackson,Robert Edward Jackson,Thomas Jonathan Jackson,Henry David Jackson,Nathan Bedford Jackson
429,"Before the Civil War, Stonewall Jackson  was a professor of artillery and natural philosophy at which institute of higher learning?",history,Virginia Military Institute,West Point,Sandhurst,Virginia Military Institute,The Citadel
430,General Jackson acquired his nickname of Stonewall at which Civil War battle?,history,Bull Run,Seven Pines,Chancellorsville,Fair Oaks,Bull Run
431,Which general gave Stonewall Jackson his nickname?,history,Barnard E. Bee,Robert E. Lee,Pierre G. Beauregard,Joseph Johnston,Barnard E. Bee
432,"During the early months of 1862, General Stonewall Jackson led a successful campaign in which region?",history,The Shenandoah Valley,Red River Valley,The Shenandoah Valley,Tennessee Valley,The Peninsula
433,Stonewall Jackson was wounded by his own men at which battle?,history,Chancellorsville,Gettysburg,Wilsons Creek,Chancellorsville,New Market
434,Stonewall Jacksons mortal wound necessitated the amputation of which limb?,history,left arm,right leg,right arm,left arm,left leg
435,Where was Stonewall Jacksons body buried?,history,"Lexington, VA",West Point cemetery,"Lexington, VA",The Chancellorsville battlefield,Hollywood Cemetery in Richmond
436,General Stonewall Jackson did not participate at which of these battles?,history,Gettysburg,White Oak Swamp,Fredericksburg,Cross Keys,Gettysburg
438,The first evidence of human existence in Europe dates back to approximately how many years ago?,history,35 000,50 000,100 000,10 000,35 000
439,Homer set his epics in the last phase of the Bronze Age in ancient Greece. What is this phase called?,history,Mycenaean Greece,Archaic Greece,Hellenistic Greece,Mycenaean Greece,Classical Greece
440,Alexander the Great is a son of this European ruler.,history,Philip II,Demetrius II,Amyntas IV,Theodosius I,Philip II
441,"The First Triumvirate was a secret pact in Ancient Rome aimed at controlling the Republic. It was formed in the mid-1st century BC by three great men - Pompey, Crassus, and who else?",history,Julius Caesar,Julius Caesar,Julio-Claudian,Octavian,Mark Antony
442,Under what ruler was Christianity officially acknowledged in the Roman Empire?,history,Constantine I,Nero,Diocletian,Julian,Constantine I
443,"In 395 the Roman Empire was divided into two: the Western Roman Empire centered around Ravenna, and the Eastern Roman Empire centered around Constantinople. Who was the last emperor of a united Roman Empire?",history,Theodosius I,Constantine II,Romulus Augustus,Marcus Aurelius,Theodosius I
444,The Roman empire was revived when Pope Leo III crowned a king of the Franks as Imperator Augustus on 25 December 800. Under what name is this king known?,history,Charlemagne,William the Conqueror,Louis the Pious,Charlemagne,Alexander the Great
445,"The Black Death, one of the deadliest infectious diseases in history,  took the lives of between 25-50 million people in Europe. What writer depicts the lives of people at that time?",history,Giovanni Boccaccio in The Decameron,Giovanni Boccaccio in The Decameron,Dante in Divine Comedy,Erasmus in In Praise of Folly,Sir Thomas More in Utopia
446,Who started the movement of Protestant Reformation in Europe?,history,Martin Luther,Martin Luther,John Calvin,Erasmus,Ulrich Zwingli
447,In what country did the Industrial Revolution start?,history,Great Britain,Germany,Italy,Great Britain,France
448,What did Joseph Woodland and  Bernard Silver patent in 1952?,history,the barcode,the velcro,the Univac computer,the barcode,Silly Putty
449,"In the early 1950s, which of the following became the third country to have an atomic bomb?",history,England,England,France,Russia(the USSR),The Peoples Republic of China
450,Which event did not occur in the same year as the other three?,history,Theodore Geisel writes Cat in the Hat.,UNIVAC becomes the first mass-produced computer.,Color Television is introduced.,Theodore Geisel writes Cat in the Hat.,Atomic power is introduced.
451,Which event did not occur in the 1950s?,history,Bobby Fisher becomes the World Champion in chess.,TANG breakfast drink is introduced.,Bobby Fisher becomes the World Champion in chess.,The Frisbee is successfully marketed in the USA.,The first successful test of a hydrogen bomb was done at Enewetak
452,In 1957 Jimmy Hoffa became president of which union?,history,International Brotherhood of Teamsters,American Brotherhood of Coal Miners,The AFL-CIO,United Federation of Teachers,International Brotherhood of Teamsters
453,Which US space ship discovered the Van Allen Radiation Belt in 1958?,history,Explorer I,Explorer I,Telstar I,Titan I,Apollo I
454,What was Elvis Presleys first motion picture?,history,Love Me Tender,Love Me Tender,Giant,Viva Las Vegas,Jailhouse Rock
455,"In the 1958 NFL Championship Game, the Colts played against the Giants. Which statement is untrue about the game?",history,"The Giants quarterback, Y.A.Tittle, threw a TD pass to Frank Gifford for the Giants first score.",The game was the first NFL Championship to go into sudden-death overtime.,Mel Triplett scored a 1 yard TD run.,"The Giants quarterback, Y.A.Tittle, threw a TD pass to Frank Gifford for the Giants first score.",The game was won by the Baltimore Colts on a 2 yard run by Alan Ameche.
456,The Boston Celtics were the dominant professional basketball team in the 1950s. Which one of these  never played for the Celtics in the 1950s?,history,Walter Dukes,Jack Nichols,K.C. Jones,Frank Ramsey,Walter Dukes
