,question,category,answer,choices__001,choices__002,choices__003,choices__004
369,What is special about the red ants of the Southwestern USA and Central and South America?,animals,They steal larvae for slaves.,They can live in temperatures from 11 degrees Centigrade to 51 degrees Centigrade.,They can live for six days without food or water.,They can change color.,They steal larvae for slaves.
370,In 1966 was found the first ant fossil. From which geological period did it come from?,animals,Cretaceous,Cretaceous,Pennsylvannian,Pre-Fermaceous,Jurasic
371,Which statement about ants is untrue?,animals,Anteaters prefer ants to any other type of food.,Anteaters prefer ants to any other type of food.,An ant colony will eat its own larvae if there is no other food around.,Bullet ants are considered to have the most painful sting.,Ants are sometimes put into Thai salads.
372,Warner Brothers highest grossing film of 1954 was about enormous ants that threatened a small town in the USA. What was the title of this movie?,animals,Them!,Ants!,Them!,Invasion,Invaders
373,How many species of flamingo are native to the Americas?,animals,4,3,2,1,4
375,What do you call a group of flamingos?,animals,Pat,Family,Pink,Flock,Pat
377,Which of these flamingo species is not native to the Americas?,animals,Lesser Flamingo,Chilean Flamingo,Andean Flamingo,Lesser Flamingo,James Flamingo
380,What decade did the pop culture icon the plastic lawn flamingo come into existence?,animals,60s,40s,60s,30s,80s
383,When was the last reported killing of a Thylacine in Australia?,animals,1930,1930,1880,1900,1910
384,What was the name of the zoo in which the last known Thylacine was placed in 1936?,animals,Hobart Zoo,Hobart Zoo,Queensland Zoo,Queen Elizabeth Zoological Gardens,Australia Zoo
385,Why were Thylacines called Tigers?,animals,because of the stripes on their back,because of the vicious way in which they killed their prey,because they looked like cats,because of their mean disposition,because of the stripes on their back
388,What was the fine for shooting a Thylacine?,animals,"$5,000","$10,000","$1,000","$3,000","$5,000"
389,In what year were Thylacines classified as extinct?,animals,1986,1986,1979,1974,1965
390,"In 1984 what famous mogul offered a $100,000 reward for proof of the continued existence of Thylacines?",animals,Ted Turner,Donald Trump,Rupert Murdock,Ted Turner,Bill Gates
391,What is a pangolin?,animals,A scaly ant-eating mammal,A scaly ant-eating mammal,A poisonous snake,A type of fish,A type of waterfowl
392,What does the Malaysian word pangolin mean?,animals,Roll into a ball,Armor,Roll into a ball,Walking Pinecone,Scaly Anteater
397,Which of these statements concerning the way in which pangolins defend themselves is false?,animals,They run away very quickly.,They run away very quickly.,They spray a noxious odor like a skunk.,They curl up in a ball.,They attack by slashing their long claws or whipping their tails.
399,How many young pangolins can an adult pangolin have at one time?,animals,1-2,1-2,3-4,4-5,2-3
400,"Although not all bear subspecies are vicious, there is a tendency for increase in bear attacks due to this factor.",animals,Destruction of bears natural habitat,Destruction of bears natural habitat,Pollution,Genetical mutation of bears,Hunting
401,Despite sharksâ bad reputation thanks to movies out of 300 species of sharks only this much are known to have attacked and killed a man.,animals,4,4,10,2,11
402,"Although jellyfish may seem to you calm and harmless, an encounter with some species may leave you in excruciating pain and even kill you in minutes. Which of the following species of jellyfish is venomous enough to kill a man?",animals,Box jellyfish,Sea nettle,Mastigias,Box jellyfish,Medusa Jellyfish
403,Weâve seen these animals as friendly and approachable but the truth is that theyâre unpredictable. What is the average number of fatalities a year elephants cause?,animals,300-500,150-200,20-40,300-500,1000-1500
404,"Hippopotamuses may seem slow, lazy and bulky but in fact are one of the most dangerous African animals. Which of the following should you avoid in order to prevent a hippopotamus attack?",animals,All of these,Standing between the hippopotamus and its calf,All of these,Surprising the hippopotamus,Blocking the hippopotamusâ way
405,Crocodiles like to stay motionless in water and wait for the perfect time to strike. These powerful prehistoric creatures annually give what estimated number of fatalities?,animals,600-800,1000-1500,50-100,100-200,600-800
406,"If you happen to be near a big cat (e.g. lion, tiger, lynx) that seems to be about to attack you, which of the following shouldnât you do in any case?",animals,Turn back and run,Scream and shout,Try to look larger than you really are,Turn back and run,Stare at its eyes
407,"Although only a small percent of scorpions are venomous to people, 800 to 2000 human deaths each year are caused by scorpions. During which part of the day are these creatures most active?",animals,Night,Morning,All day,Noon,Night
408,Which of the following statements about snakes is not true?,animals,Snakes will attack almost always they sense the presence of a human.,Snakes can strike upto half their length.,A fully grown king cobra can rear up so it looks a human in the eyes.,Not all venomous snakes are capable of killing a man.,Snakes will attack almost always they sense the presence of a human.
409,"Surprisingly, the number one killer among animals with about 2-3 million human fatalities a year is a tiny insect. Which is it?",animals,Mosquito,Bee,Mosquito,Tsetse fly,Wasp
410,How many species of rhinoceros survive in the wild?,animals,5,2,5,4,3
411,Which of these is NOT a species of rhinoceros?,animals,African Rhino,African Rhino,Indian Rhino,Javan Rhino,Sumatran Rhino
413,"Throughout the period from the 1970s to the end of the 20th century, the rhinoceros numbers declined by approximately what percentage?",animals,90%,50%,90%,60%,75%
415,What is the life span of a rhino?,animals,40 years,15 years,40 years,20 years,30 years
417,What is the gestation period of a rhino?,animals,16 months,12 months,16 months,20 months,24 months
418,What is the #1 reason for the rhinos decline worldwide?,animals,Poaching,Disease,Farming,Predators,Poaching
420,Hyenas are most closely related to what creatures?,animals,Mongoose,Badger,Bears,Cats,Mongoose
422,In which of these African environments are hyenas NOT found?,animals,Desert,Desert,Forests,Mountains,Grasslands
424,Which of these is not a species of hyena?,animals,Golden,Brown,Striped,Golden,Spotted
426,What is a group of hyenas called?,animals,Clan,Pack,Posse,Giggle,Clan
428,What country was home to the Moa?,animals,New Zealand,New Zealand,Puerto Rico,Indonesia,Madagascar
429,How many species of Moa are known to have existed?,animals,11-15,3-5,5-7,10-13,11-15
431,What was the main reason for the extinction of the Moa?,animals,It was hunted by man for food.,It was hunted by man for food.,There was not enough room on the island for so many large birds,It could easily be caught by predators.,It got to large to support itself.
432,What animal was the number one predator of the Moa?,animals,An extinct species of eagle,They had no predator they were too large,An extinct species of eagle,An extinct species of lion,An extinct species of wolf
435,In what year were the first Moa remains discovered by Europeans?,animals,1839,1765,1857,1839,1724
436,Which of these European countries is not home to any wild native reindeer?,animals,Switzerland,Finland,Switzerland,Russia,Scotland
438,Approximately how many miles per year can the North American caribou travel?,animals,"3,000","11,000","1,000","3,000","7,000"
440,Approximately how many reindeer live in Eurasia?,animals,5 million,10 million,5 million,15 million,1 million
444,How many species of pigeons and doves exist?,animals,300,200,375,300,250
447,Why are pigeon nests or eggs rarely seen?,animals,Pigeons are cliff dwellers and build their nests in high places.,Pigeons are cliff dwellers and build their nests in high places.,Pigeons do their best to conceal nests.,Pigeons are picky and only build nests high up in certain types of trees.,Pigeons dont build nests.
450,What is the common name for the pigeon that we see in the city streets and in our backyards?,animals,Rock Dove,Mourning Dove,Rock Dove,Common Dove,Fancy Dove
451,Dinosaurs lived during which geologic era?,animals,Mesozoic,Cretazoic,Protozoic,Holozoic,Mesozoic
452,The word dinosaur is a combination of two Greek words. One word  means lizard. What does the other word mean?,animals,Terrifying,Terrifying,Herbivorous,Godlike,Beautiful
454,"Name the theropod dinosaur with a long head, flat snout, and large sickle-shaped claw on the second toe of each foot.",animals,Velociraptor,Stegosaurus,Velociraptor,Tyrannosaur,Raptor
455,Name the prehistoric reptile of the late Jurassic and Cretaceous period with featherless wing membrane.  It is believed this reptile flew.,animals,Pterodactyl,Bronchialsaurus,Accipitridae Raptor,dactylic raptor,Pterodactyl
456,"The name brontosaurus is derived from the Greek words sauros, which means lizard, combined with another word. What does the word bronte mean?",animals,Thunder or roar,Large,Long neck,Poetic,Thunder or roar
458,Which of these dinosaurs had dorsal plates and spikes?,animals,Stegosaurus,Heloderma  suspectum,H. horridum,Hydrodamalis gigans,Stegosaurus
459,"According to history/science/geology, dinosaurs became extinct approximately how many years ago?",animals,65 million,10 million,25 million,80 million,65 million
460,"This reptile, endemic to new Zealand, is the only surviving rhynchocephalian.",animals,Tuatara,Perisssodactyl,None of these,Kephalosaurus,Tuatara
461,"Which one of these movies tells the story of Littlefoot, an Apatosaurus in search of the Great Valley where dinosaurs can live in peace?",animals,The Land Before Time,Walking With Dinosaurs,Jurassic Park,King Kong,The Land Before Time
462,Which of these books about prehistoric animals and dinosaurs was written by Arthur Conan Doyle?,animals,The Lost World,Dinosaur Planet,Jurassic Park,Dinotopia,The Lost World
463,"In the 1980s, who voiced the character of Dino, the pet dinosaur in the animated series The Flintstones?",animals,Mel Blanc,Frank Welker,Mel Blanc,Jean Vander Pyl,Alan Reed
464,"In the book Jurassic Park, the fictional island Isla Nublar, where recreated dinosaur species live, is situated in which part of the world?",animals,Near Costa Rica,Near Costa Rica,Near Japan,Near Chile,Near Spain
465,"The BBC series Walking with Dinosaurs, which won three Emmy Awards, consisted of how many parts?",animals,6,12,3,6,2
466,The design of the Japanese fictional monster Godzilla was based on the characteristics of which dinosaur?,animals,All of these,Stegosaurus,All of these,Tyrannosaurus,Iguanodon
467,"In the cartoon Dinosaucers, Bronto Thunder is what kind of dinosaur?",animals,An evolved Apatosaurus,An evolved Apatosaurus,An evolved Stegosaurus,An evolved Archaeopteryx,An evolved Triceratops
468,"What is Dinotopia, the fictional place where humans and dinosaurs live together in James Gurneys books and Hallmarks mini series?",animals,A hidden island,A planet,A hidden island,A mountain,A large volcano
469,Which band recorded a song called Brontosaurus which includes the following verse:\n\nNow her daddys getting old\nAnd he seemed to lose control\nWhen the brontosaurus\nStormed into the house to trap her.?,animals,ELO,ELO,Velvet Revolver,Velvet Underground,AFI
470,What kind of celestial body is the 9949 Brontosaurus?,animals,Asteroid,Asteroid,Planet,Star,Black hole
471,"What is the meaning of the term Triceratops, referring to a dinosaur genus discovered in 1888 in North America?",animals,Three horns on the face,Three heads,Beast with three tails,Three-tongued beast,Three horns on the face
472,Which one of these dinosaurs was bigger than a dog?,animals,Triceratops,Saltopus,Parvicursor,Microraptor,Triceratops
473,"In the scientific classification of animals, what does the term Dinosauria signify?",animals,A superorder,A family,A superorder,A genus,A kingdom
474,"Fossils of a Velociraptor attacking a Protoceratops, proving that dinosaurs attacked and ate each other, were discovered in which part of the world in 1971?",animals,The Gobi Desert,Death Valley,The Gobi Desert,The Balkans,"Bernissart, Belgium"
475,Which one of these dinosaurs was carnivorous?,animals,Eoraptor,Eoraptor,Diplodocus,Maiasaura,Triceratops
476,Which one of these dinosaurs was herbivorous?,animals,Protoceratops,Velociraptor,Protoceratops,Tyrannosaurus,Allosaurus
478,How many fingers did the Tyrannosaurus rex have on its forelimbs?,animals,2,4,3,5,2
479,The first evidence of herding behaviour among dinosaurs was discovered in 1878 in which part of the world?,animals,Belgium,USA,Argentina,Belgium,China
480,"Which one of these statements about the Seismosaurus, the Earth-shaking lizard, is wrong?",animals,Its hind legs were shorter than its front legs.,It could reach 33 meters in length.,It was recognized as a species in 1991.,Its hind legs were shorter than its front legs.,It was herbivorous.
481,How long is the average lifespan of an elephant?,animals,70 years,70 years,15 years,110 years,35 years
483,Until what age can the female elephant (called a cow) produce offspring?,animals,50 years,50 years,15 years,75 years,7 years
485,"Elephants express joy by spinning in circles, trumpeting, roaring, screaming, urinating, and flapping their ears. In which of these cases will an elephant not act this way?",animals,after the death of an elderly elephant,when meeting a friend (elephant or human),when playing games,after the death of an elderly elephant,after the birth of a new baby elephant
488,How many species of elephant exist today?,animals,3,1,6,5,3
489,How many individual muscles are in an elephants trunk?,animals,"40,000","2,000","10,000","40,000",500
491,"Elephants intertwine their trunks with the trunks of other elephants, much like a handshake. What does an elephant not do with its trunk?",animals,drink through it like through a straw,caress a baby elephant,drink through it like through a straw,place food in their mouth,grab enemies and fling them away
492,"Elephants spend 16 hours a day collecting and eating food, an average of 400 lbs of food a day. But their bodies do not digest 100% of the food. How much of the food does the elephants body digest?",animals,40%,40%,80%,60%,20%
493,"It has been reported that in the period 1992-2008, Ringling Bros. and Barnum  Bailey Circus had at least this many elephant deaths caused by abuse and neglect.",animals,24,24,0,1,7
495,Through what body part can an elephant NOT hear?,animals,skin,feet,skin,trunk,ears
497,"In Islamic history, 570 A.D. was The Year of the Elephant. Which of these happened in that year?",animals,Muhammad was born,The Qurâan was written in book form,Muhammad received his first revelation,Muhammad was born,Muhammad became ill and died
499,Which is true about elephants?,animals,The elephant is a good swimmer.,The elephant is a good jumper.,The elephant is not a protected species.,An elephants skin is 2.5 inches thick.,The elephant is a good swimmer.
500,What is the only marsupial in the world that has a backwards pouch?,animals,wombat,kangaroo,echidna,koala,wombat
502,"This reef, that extends along the east coast of Australia, is home to countless animals and is considered one of the wonders of the natural world.",animals,Great Barrier Reef,Great Barrier Reef,Division Reef,Australia Reef,Surfer Reef
503,"The female of this species is sometimes called a Blue Flyer, because of its bluish coloration.",animals,red kangaroo,white heron,emu,red kangaroo,kookaburra
504,Which one of these is NOT a type of wombat?,animals,Arid Central,Common,Southern Hairy Nosed,Arid Central,Northern Hairy Nosed
506,The echidnas diet consists mainly of this group of animals.,animals,Insects,Mammals,Insects,Fish,Birds
507,"Where does the kookaburra, a common Australian bird, get its name from?",animals,The aboriginal name for it,The food it eats,The aboriginal name for it,Its appearance,The sound it makes
508,Which of these animals is NOT native to Australia?,animals,Dingo,Frilled-neck lizard,Kangaroo,Dingo,Bilby
509,What does the word Triceratops mean?,animals,Three Horned Face,Three Big Horns,Big Horned Beast,Three Horned Head,Three Horned Face
511,How much is Triceratops thought to have weighed?,animals,"Between 13,000 and 26,000 lbs","Between 13,000 and 26,000 lbs","Between 1,000 and 9,000 lbs","Between 50,000 and 75,000 lbs","Between 110,000 and 140,000 lbs"
513,In what year was Triceratops first discovered?,animals,1888,1894,1888,1885,1906
514,Triceratops is the official State Dinosaur of which state?,animals,Wyoming,Utah,Oregon,Wyoming,Nevada
516,It is thought that Triceratops was able to run how fast?,animals,15 mph,40 mph,15 mph,20 mph,30 mph
518,What does the word âmantisâ mean?,animals,Prophet or fortuneteller,Savage insect,Killer or hunter,Prophet or fortuneteller,Leaflike
522,In what year was the Praying mantis placed on the Endangered Species List?,animals,1976,1972,1970,1974,1976
525,What is the meaning of the name Stegosaurus?,animals,Roof Lizard,Tank Lizard,Roof Lizard,Spike Lizard,Spike Tail
527,How many bony plates did a Stegosaurus have embedded on its back?,animals,17,11,17,9,15
529,What was the length of an average Stegosaurus?,animals,26-30 feet (8-9.2 m),20-28 feet (6-8.5 m),30-40 feet (9.2-12.2 m),26-30 feet (8-9.2 m),34-38 feet (10.4-11.5 m)
531,What was the average weight of a Stegosaurus?,animals,"6,800 lbs. (3 tonnes)","8,000 lbs. (3.6 tonnes)","6,000 lbs. (2.7 tonnes)","6,800 lbs. (3 tonnes)","7,400 lbs. (3.3 tonnes)"
533,What was the average height of a stegosaurus?,animals,9 feet (2.7 m),9 feet (2.7 m),8 feet (2.4 m),10 feet (3 m),12 feet (12.6 m)
536,How many subspecies of the tiger are left nowadays?,animals,6,8,6,2,3
540,How many cubs are usually in a tigers litter?,animals,3-4 cubs,1-6 cubs,3-4 cubs,1-2 cubs,2-4 cubs
541,How long is the gestation period of a tiger?,animals,16 weeks,16 weeks,22 weeks,10 weeks,14 weeks
545,How many living species of bears are there?,animals,8,4,10,6,8
547,Which country does the Clydesdale horse originate from?,animals,Scotland,Scotland,Ireland,Spain,England
548,What famous beer brand uses the Clydesdale horse as its mascot?,animals,Anheuser-Busch,Anheuser-Busch,Fosters,Upland,Heineken
551,What year was the Clydesdale Horse Society formally founded?,animals,1887,1925,1901,1887,1885
552,What class of horse breed does the Clydesdale horse belong to?,animals,Draft Horse,Draft Horse,Carriage Horse,Farm Horse,Saddle Horse
554,What year was the Clydesdale horse introduced to North America?,animals,1715,1636,1715,1525,1800
556,How long does a Clydesdale horseâs pregnancy last?,animals,11 Months,9 months,24 Months,15 Months,11 Months
557,"This dog breed, which originated in Mongolia and China, has very thick fluffy fur and a blue-black tongue.",animals,Chow Chow,Chow Chow,Jonangi,Kai Ken,Hokkaido
558,"The representatives of this dog breed are small, have long white silky fur and are also known as Roman Ladies Dogs.",animals,Maltese,Maltese,Norrbottenspets,Phalene,Mudi
559,What common name does the dog breed New Guinea Highland Dog have?,animals,Singer,Singer,Prowler,Wrestler,Swimmer
560,In what color does the Pekingese dog breed come?,animals,All of these,Light gold,White,Black,All of these
562,In what European country did the Rough Collie dog breed originate?,animals,Scotland,Scotland,Germany,Ireland,France
563,"What dog breed has an elongated body, very short legs, short shiny coat and a long snout?",animals,Dachshund,Dogo Guatemalteco,Dachshund,English Foxhound,Elo
564,This extremely large and tall German dog breed has a very short shiny coat and strong muscular body with a majestic posture.,animals,All of these,German Mastiff,Boarhound,Great Dane,All of these
565,In which European country did the Dalmatian dog breed originate?,animals,Croatia,Croatia,Netherlands,Italy,Denmark
566,"This dog breed, developed in England, has an egg-shaped head, small eyes, and very strong muscular body with smooth short fur and short legs.",animals,Bull Terrier,Bull Terrier,Cairn Terrier,English Shepherd,Wire Fox Terrier
567,What is the literal meaning of the word carnivore which has a Latin origin?,animals,Meat eater,Blood drinker,Animal killer,Meat eater,Monster
568,Which of these statements is true about carnivorous organisms in general?,animals,All of these,They feed on vertebrate animals.,All of these,They feed through scavenging.,They feed on invertebrate animals.
569,What is the meaning of the term apex predator which is related to carnivorous animals?,animals,A predator that has no predators itself.,A predator that has no predators itself.,A very skilled predator that is highly specialized in killing animals.,It is a term for a human being.,An animal which consumes the highest number of animal species.
570,What is the definition of the term hypercarnivore?,animals,An animal whose diet consists exclusively of meat.,It is a synonym for apex carnivore.,A predator that feeds on carnivorous animals.,It is a term that refers to humans.,An animal whose diet consists exclusively of meat.
571,Which of these methods do carnivorous plants use for capturing their prey?,animals,All of these,Rapid leaf movements,A sticky mucilage,Vacuum sucking into a bladder,All of these
572,"What does the diet of the Great Blue Heron, found in North and Central America, consist of?",animals,All of these,All of these,Birds,Reptiles,Small mammals
573,Which of these statements is true about the diet of coyotes?,animals,They eat insects.,All of these,60% of their diet consists of mammals.,They eat insects.,They do not eat prairie dogs.
574,"Which of these characteristics is generally associated with carnivorous animals, particularly predators?",animals,All of these,Aggressive behavior,Claws,Sharp teeth,All of these
575,Which of these statements is true about the consumption of plant material by carnivores?,animals,All of these,All of these,Carnivores consume feces of herbivores to get nutrients.,"Carnivores consume some plant material in order to get minerals, vitamins and fiber.",Carnivores ingest the plant material the need along with their herbivorous prey.
576,What does the term facultative carnivore mean?,animals,A carnivore that also consumes plant food.,It is a synonym for scavenger.,Animal that has all characteristics of carnivores but is a herbivore.,A carnivore that also consumes plant food.,It is a synonym for omnivore.
584,How many box turtle species are there in North America?,animals,4,4,1,9,2
586,What color eyes do male box turtles commonly have?,animals,red,blue,green,red,black
587,"What city is known as the White Squirrel Capital of the World, since it is home to the largest colony of albino squirrels?",animals,"Olney, Illinois","Marionville, Missouri","Olney, Illinois","Columbus, Ohio","Kenton, Tennessee"
588,Whiteflies generally feed on what?,animals,Leaves,Fruit,Insects,Leaves,Carrion
589,Which of these white foxes populates the polar zone of the Northern Hemisphere?,animals,All of these,White Fox,Arctic Fox,All of these,Snow Fox
590,In what novel one of the main characters is a white whale hunted by a whaling ship?,animals,Moby-Dick,North Against South,Moby-Dick,Twenty Thousand Leagues Under the Sea,The Purchase of the North Pole
591,"What type of insect is often referred to as a white ant, although it is not related to the ant species?",animals,Termite,A type of small spider,Termite,Head louse,A type of albino wasp
592,The White Snake is a fairy tale included in the collection of fairy tales by this author.,animals,Brothers Grimm,Andrew Lang,Brothers Grimm,Oscar Wilde,Hans Christian Andersen
593,What is the meaning of the figurative expression a white elephant?,animals,A pricey and useless possession,Something that is idolized but that does not exist,An extraordinary person,A pricey and useless possession,A chimera
594,"The representatives of the Old Danish Pointer breed are white, with markings of this other color on their coat.",animals,Brown,Grey,Brown,All of these,Black
595,Which of these dog breeds originated in Hungary?,animals,All of these,Pumi,Puli,Mudi,All of these
596,In what Latin American country did the Chihuahua dog breed originate?,animals,Mexico,Mexico,Cuba,Guatemala,Nicaragua
597,To what group of dog breeds does the Beagle dog breed belong?,animals,Hound group,Terrier group,Toy group,Herding group,Hound group
598,In what country did the American Akita dog breed originate?,animals,Japan,Canada,Japan,China,United States
599,"This dog breed, considered one of the first sighthound dog breeds, has very long fur and is quite tall, with long legs and ears.",animals,Afghan Hound,Canadian Pointer,Bolognese,Afghan Hound,Airedale Terrier
600,In what northern country did the Siberian Husky dog breed originate?,animals,Russia,Norway,Finland,Russia,"Alaska, USA"
601,The Papillon is a small dog breed of the Toy group. What does the word Papillon mean in French?,animals,Butterfly,Butterfly,Cherry,Flower,Angel
602,"This dog, which was once used as a personal defense dog, police dog and war dog, is often mistakenly believed to be very aggressive.",animals,Doberman Pinscher,Field Spaniel,Doberman Pinscher,Elo,Finnish Spitz
603,This dog breed was developed as a gun dog in Canada?,animals,Labrador Retriever,Mountain Cur,Pharaoh Hound,Lakeland Terrier,Labrador Retriever
606,What is the mortality rate of a cheetah cub growing to adulthood?,animals,95% die,50% die,15% die,65% die,95% die
607,What is another name for a nutria?,animals,Coypu,Beaver,Muskrat,Rat,Coypu
609,The nutria is native to which continent?,animals,South America,Europe,South America,Africa,North America
610,What is the average weight of an adult nutria?,animals,10-20 lbs.,15-25 lbs.,5-10 lbs.,Over 30 lbs.,10-20 lbs.
611,Which of the following is a characteristic of the nutria?,animals,Large orange teeth,Webbed front feet,Huge black eyes,Large orange teeth,Flat beaver like tale
613,What do farmers raise nutrias for?,animals,Their fur is very valuable.,Their fur is very valuable.,Their huge teeth can be sold as jewelry.,They can use their oil for shampoos and lotions.,Their milk is very nutritious.
614,Nutria meat is lean and low in what?,animals,Cholesterol,Iron,Sodium,Cholesterol,Fiber
615,What time of year do nutrias breed?,animals,All year round,In the winter months,All year round,In the Fall,In the spring
616,What is a common nickname for the Yorkshire Terriers?,animals,Yorkie,Yorkie,They have no nickname.,Yorkle,Shorky
620,What is the Yorkshire Terriers average lifespan?,animals,11 - 13 years,5 - 8 years,11 - 13 years,15 - 18 years,99 - 101 years
621,What place did the Yorkshire Terrier take in the AKC registered breed popularity in the USA in 2008?,animals,2nd,1st,50th,2nd,79th
622,Venomous and poisonous are two different terms. What does the term venomous refer to?,animals,Animals that inject venom,Animals that inject venom,Animals that are deadly when eaten,Plants and animals that secrete venom and are harmful when touched,All of these
623,"Which of these statements is true about the slow loris, a primate which is both poisonous and venomous?",animals,All of these,All of these,It covers its young with a toxin to keep them from being eaten.,It has a venomous bite.,It secretes a toxin from the glands on the inside of its elbows.
624,The Brazilian wandering spiders are included in Guinness World Records 2007 as the worlds most venomous spiders. How do they inject their venom?,animals,By biting,By stinging,By biting,All of these,By urticating hairs
625,What creature is considered the most venomous on the planet?,animals,Box jellyfish,Fat-tailed scorpion,Killer bee,Box jellyfish,Cone snail
626,The stonefish is an extremely venomous type of fish that lives in the coastal regions of Indo-Pacific oceans. How does it inject its venom?,animals,With its dorsal fin,With its sharp teeth,With its tail fin,With its pectoral fin,With its dorsal fin
627,"The name of cobras, which are very venomous, comes from the Portuguese cobra de capello. What does this mean?",animals,Snake with hood,Snake with hood,Poisonous hat,Poisonous nose,Snake with nose
628,"Venomous mammals do exist, although they are very rare. Which of these mammals is venomous?",animals,All of these,European Mole,Cuban Solenodon,All of these,Platypus
630,"How do fire ants, a type of venomous ants, introduce their venom?",animals,Through stinging,All of these,Through biting,Through biting and then spraying the wound with venom,Through stinging
631,What kind of animal is the venomous Gila monster that is indigenous to southwestern United States and northern Mexico?,animals,Lizard,Lizard,Invertebrate,Frog,Mammal
632,What phylum do jellyfish belong to?,animals,Cnidaria,Arthropoda,Chordata,Cnidaria,Mollusca
635,Which of these body systems do jellyfish NOT have?,animals,all of these,osmoregulatory,respiratory,circulatory,all of these
636,What is a group of jellyfish called?,animals,bloom,herd,bloom,school,pack
638,How is the body of the jellyfish oxygenated?,animals,diffusion,osmosis,active transport,diffusion,photosynthesis
639,What is the deadliest jellyfish in the world?,animals,Box Jellyfish,Box Jellyfish,Lions Mane Jellyfish,Moon Jellyfish,Sea Nettle
642,"According to statistics, how are wolves killed today?",animals,All of these,By people,By hunters and poachers,By poison and areal hunters,All of these
643,How many different types of wolves including sub-species are there around the world?,animals,9,Over 100,44,9,3
644,How long is the female gestation period in wolves?,animals,63 days,90 days,25 days,63 days,200 days
645,What is the most amount of wolf pups ever recorded in a litter?,animals,14 pups,4 pups,5 pups,14 pups,10 pups
646,At what age does a wolf usually leave its pack?,animals,2-3 years,5-6 years,2-3 years,1-2 years,3-4 years
649,"The blue whale is the largest animal, but what is the largest toothed whale on the planet?",animals,Sperm whale,Cuviers Beaked Whale,Orca,All of these,Sperm whale
650,What Gorilla is the largest primate on the planet?,animals,Eastern Lowland Gorilla,Mountain Gorilla,Western Lowland Gorilla,Eastern Lowland Gorilla,Cross River Gorilla
651,What is the largest living bird of prey on the planet?,animals,Eurasian Black Vulture,Philippine Eagle,Booted Eagle,Lappet-faced Vulture,Eurasian Black Vulture
652,What is the largest fish in existence?,animals,Whale shark,Manta ray,Whale shark,Ocean sunfish,Basking shark
653,Name the largest mollusk and the largest invertebrate in the world?,animals,Colossal squid,Giant African snail,North Pacific Giant Octopus,Colossal squid,Giant squid
654,What is the largest living terrestrial organism on the planet?,animals,African Bush Elephant,African Forest Elephant,Asian Elephant,African Bush Elephant,Indian Elephant
655,Approximately how much does a typical female vampire bat weigh?,animals,1.5 oz.,8 oz.,1.5 oz.,5 oz.,1 lb.
656,"Out of 200 vampire bats, approximately how many have rabies?",animals,1,5,25,10,1
657,What is the average lifespan of a vampire bat?,animals,40-50 years,20-25 years,5-10 years,40-50 years,70-80 years
658,Where are vampire bats mostly found?,animals,"Mexico, Central America and South America",Australia,"Mexico, Central America and South America",Asia,Africa
662,A vampire bat will die if it doesnt find blood for how many nights in a row?,animals,2,2,5,1,7
664,How do wolves mark their territory?,animals,All of these,By urinating,By defecating,By rubbing against objects,All of these
665,What actor directed and starred in the popular 1990 movie Dances with Wolves?,animals,Kevin Costner,Sean Connery,Kevin Costner,Mel Gibson,Harrison Ford
666,What is the largest wolf species on the planet as well as the largest wild representative of the Canidae family?,animals,Grey wolf,Grey wolf,Polar wolf,Black wolf,Red wolf
667,"Wolf pups are usually born with irises of this color, which changes with time.",animals,Blue,Black,Golden,Green,Blue
668,"What animal is considered the major enemy of the wolf in the wild, apart from humans?",animals,Other wolves,Bear,Other wolves,Eagle,None of these
669,What type of wolf is White Fang from Jack Londons popular novel White Fang?,animals,Wolf hybrid,Grey wolf,White wolf,Wolf hybrid,Red wolf
671,In what European city is the popular bronze statue Capitoline Wolf located?,animals,Rome,Madrid,Paris,London,Rome
672,What animals do wolves generally prefer to feed on?,animals,Ungulates,Rodents,Birds,Fish,Ungulates
673,To what continent is the unique Maned Wolf endemic?,animals,South America,Asia,Africa,South America,Europe
674,Which animals have the most unique species endemic to Australia?,animals,Amphibians,Amphibians,Mammals,Insects,Reptiles
675,Which of these statements about the Australian fauna is true?,animals,All of these,Australia is the only continent that has more venomous than non-venomous snake species,Two of the five known species of monotremes live in Australia,All of these,Placental mammals are relatively rare in Australia
676,What animal is the largest macropod and one of Australias heraldic animals?,animals,Red kangaroo,Pademelon,Red kangaroo,Grey kangaroo,Quokka
677,What kind of animal is the Spotted wobbegong?,animals,Fish,Fish,Reptile,Amphibian,Marsupial
678,"What is the common name of the Quoll, a carnivorous marsupial native to Australia and Papua New Guinea?",animals,Native cat,Native cat,Native rat,Native fox,Native dog
679,Which of these areas is the Black Salamander endemic to?,animals,United States,Hawaii,United States,Australia,India
680,Which of these statements is true about the Western black widow spider?,animals,It is extremely venomous.,The female always eats the male after mating.,It is extremely venomous.,It is native to Madagascar.,All of these
681,"What type of food does the Lesser Vasa Parrot, also known as Black Parrot, feed on?",animals,Fruit,Fruit,Insects,All of these,Carrion
682,How did the Black Mamba snake get its name?,animals,Because its mouth is black,Because of its color,Because its eggs are black,Because its mouth is black,Because its venom is black
683,"Which of these names refers to the Asian black bear, a close relative of the American black bear?",animals,All of these,Himalayan black bear,All of these,Tibetan black bear,Moon bear
684,The Black wolf is actually a color variant of which wolf species?,animals,Grey wolf,White wolf,None of these,Brown wolf,Grey wolf
