,question,category,answer,choices__001,choices__002,choices__003,choices__004
740,Which mountain range covers most of Austrias territory?,celebrities,the Alps,the Pyrenees,the Carpathians,the Alps,the Sudeten Mountains
741,The House of Habsburg was a powerful dynasty from Austria that once ruled half of Europe. Which of these thrones was never occupied by a Habsburg?,celebrities,Polish,Polish,Dutch,Spanish,Hungarian
742,Austria-Hungary was a vast empire that covered much of Central Europe. Which present day country was not part of this empire?,celebrities,Serbia,Bosnia and Herzegovina,Serbia,Czech Republic,Slovakia
743,What movie brought Anthony Hopkins his first Academy Award?,celebrities,The Silence of the Lambs,The Remains of the Day,The Silence of the Lambs,The Hunchback of Notre Dame,Shadowlands
744,What popular painter did Anthony Hopkins portray in a 1996 movie directed by James Ivory?,celebrities,Pablo Picasso,Rembrandt,Johannes Vermeer,James Abbott McNeill Whistler,Pablo Picasso
745,What historical figure did Anthony Hopkins portray in the 1981 television film The Bunker?,celebrities,Adolf Hitler,Otto von Bismarck,Winston Churchill,Adolf Hitler,Heinrich Himmler
746,"Who is the director of the 1992 horror movie Dracula, featuring Anthony Hopkins as Professor Abraham Van Helsing?",celebrities,Francis Ford Coppola,Steven Spielberg,Francis Ford Coppola,Luc Besson,Anthony Hopkins
747,What American President did Anthony Hopkins portray in the 1997 Steven Spielberg movie Amistad?,celebrities,John Quincy Adams,James Monroe,Andrew Jackson,Martin Van Buren,John Quincy Adams
748,What character did Anthony Hopkins voice in the 2000 movie How the Grinch Stole Christmas?,celebrities,The narrator,Max the Dog,Officer Wholihan,The narrator,Mayor Augustus Maywho
749,"What was the name of the 2001 sequel to the 1991 thriller The Silence of the Lambs, both starring Anthony Hopkins?",celebrities,Hannibal,The Quiet Desperation of the Lambs,Hannibal,Manhunter,The Cannibal
750,What character did Anthony Hopkins portray in the 2007 movie Beowulf?,celebrities,King Hrothgar,Beowulf,Unferth,King Hrothgar,Grendel
751,"What actor was originally considered for the role of US President Richard Nixon in the 1995 movie Nixon, eventually played by Anthony Hopkins?",celebrities,All of these,Robin Williams,Jack Nicholson,All of these,Tom Hanks
752,Anthony Hopkins portrayed this character in the 1993 movie The Remains of the Day.,celebrities,Head Butler Mr James Stevens,Head Butler Mr James Stevens,Lord Darlington,Congressman Trent Lewis,William Stevens
753,Comedians Abbott and Costellos most famous routine is Whos on First?.  Which is the only baseball position not mentioned in that routine?,celebrities,Rightfield,Centerfield,Leftfield,Rightfield,Shortstop
754,Which mathematical equation does American comedian Lou Costello in a routine use to prove that thirteen 7âs equal 28?,celebrities,All of these,All of these,Multiplication,Division,Addition
755,"In which of these sports can a father be a mudder, as explained to Costello by Abbott in one of their comedy routines?",celebrities,horse racing,horse racing,polo,wrestling,golf
756,"In the movie Hold That Ghost, what animals does Camille Brewster (Joan Davis) tell Lou Costello she cannot go to bed without?",celebrities,Mules,Deer,Doves,Sheep,Mules
757,Can you pick the words that sets off a deranged derelict to beat up Lou Costello every time he hears them mentioned in the movie Lost in a Harem?,celebrities,Niagara Falls,Off With His Head,Grand Canyon,Sultans Wives,Niagara Falls
758,"In the movie Naughty Nineties, what does the American comedian Abbott do to prove to his partner Costello that he cannot hit him while they are both standing on the end of a handkerchief?",celebrities,Closes the door over his half,Makes Costello stand on one leg,Draws a line,Folds it in half,Closes the door over his half
759,"In the movie Abbott  Costello Meet Frankensteinâ, Costello does a type of magic trick. What is it?",celebrities,He pulls out the tablecloth without upsetting the candles and dinnerware.,He makes a coin disappear.,He pulls out the tablecloth without upsetting the candles and dinnerware.,He pulls a rabbit out of a hat.,He makes Sandra disappear.
760,"In Abbott and Costelloâs routine Susquehanna Company, almost all the items that Lou Costello was to deliver were destroyed by people hearing the mention of that companys name. What were those items?",celebrities,Hats,Gloves,Hats,Pants,Belts
761,"Which of these foods is the name of a street in comedians Abbott and Costelloâs routine, where Costello gets beaten up by mentioning that name?",celebrities,Bagel,Orange,Bacon,Bagel,Custard
762,What year was Lou Ferrigno born?,celebrities,1951,1950,1955,1954,1951
764,In what 1977 competition did Lou Ferrigno place 4th?,celebrities,Worlds Strongest Man,Mr. Olympia,Mr. Universe,Mr. America,Worlds Strongest Man
765,Which of the following shows did Lou Ferrigno not appear in?,celebrities,Friends,Friends,My Wife and Kids,Home Improvement,Reno 911
766,What popular sitcom did Lou Ferrigno play himself in?,celebrities,King of Queens,Friends,Everybody loves Raymond,King of Queens,8 Simple Rules
769,What is the official language of Argentina?,celebrities,Spanish,Spanish,Italian,GuaranÃ­,German
770,What is the predominant religion in Argentina?,celebrities,Roman Catholicism,The Church of Jesus Christ of Latter-day Saints,Islam,Protestantism,Roman Catholicism
771,What is the motto of Argentina?,celebrities,En uniÃ³n y libertad,Por la RazÃ³n o la Fuerza,La uniÃ³n es la fuerza!,Ordem e Progresso,En uniÃ³n y libertad
772,What is the national anthem of Argentina?,celebrities,Himno Nacional Argentino,Himno Nacional de Argentina,Hino Nacional Argentino,Hino Nacional de Argentina,Himno Nacional Argentino
773,What is the capital of Argentina?,celebrities,Buenos Aires,Buenos Aires,San Juan,Rosario,La Plata
774,What is the currency of Argentina?,celebrities,peso,colÃ³n,peso,dollar,daler
775,Who is the first president of Argentina?,celebrities,Bernardino Rivadavia,Bernardino Rivadavia,Manuel Dorrego,Vicente LÃ³pez y Planes,Justo JosÃ© de Urquiza
776,On what continent is Argentina located?,celebrities,South America,Asia,South America,North America,Europe
777,Stephen Fry was born in 1957 to an English father and an Austrian-Jewish mother. Which borough of London was he born in?,celebrities,Camden,Richmond upon Thames,Wandsworth,Harrow,Camden
779,"At the age of seventeen, Stephen Fry was imprisoned for 3 months for what illegal activity?",celebrities,Fraud,Assault,Reckless driving,Fraud,Indecency
780,"Following his release from prison, Stephen Fry studied hard to successfully gain entrance to which University?",celebrities,Cambridge,Edinburgh,Oxford,Cambridge,Bristol
781,"While at University, Stephen Fry joined an amateur theatrical group where he met his comedy partner Hugh Laurie. What was the name of the theatrical group?",celebrities,Footlights,Footlights,Revue,Fringe,Old Vic
782,Stephen Fry first came to public attention when he partnered Hugh Laurie on Saturday Live. This led to him being cast as Lord Melchett in which successful comedy series?,celebrities,Blackadder II,"Filthy, Rich and Catflap",Three of a Kind,Blackadder II,The Young Ones
783,What was the title of the 4-season long TV sketch show created by Stephen Fry and Hugh Laurie?,celebrities,A Bit of Fry and Laurie,Saturday Night Fry,Moab is my Washpot,Jeeves and Wooster,A Bit of Fry and Laurie
784,What is the link between Stephen Fry and popular boy-wizard Harry Potter?,celebrities,Fry is the voice of the audiobook versions of the Harry Potter stories and their videogame adaptations.,Fry is J K Rowlings cousin.,Fry owned the cafeteria at which J K Rowling wrote a lot of the early notes for Harry Potter and the Philosophers Stone.,Fry is the voice of the audiobook versions of the Harry Potter stories and their videogame adaptations.,Fry was originally offered the part of Dumbledore in the Harry Potter films.
785,"Whilst appearing in the stage play, Cell Mates, in 1995 Stephen Fry suffered a nervous breakdown and disappeared for a number of days. In which country did he reappear in public?",celebrities,Belgium,France,Belgium,Holland,Germany
786,What does Brad Pitts tattoo written in French on his left forearm mean?,celebrities,Life is absurd.,Life is absurd.,The sun will rise again.,God is within me.,My heart belongs to me.
787,What flower did Cher have tattooed on her ankle?,celebrities,Rose,Carnation,Sunflower,Orchid,Rose
788,Which of the following did Beyonce have tattooed on her hips?,celebrities,An angel,Roses,A heart,A cross,An angel
789,What animal did actor Nicolas Cage have tattooed on his back?,celebrities,A lizard,A horse,A lizard,A tiger,A dog
790,On what part of her body did actress and singer Dolly Parton get a butterfly tattoo?,celebrities,On her chest,On her wrist,On her shoulder,Her lower back,On her chest
791,A portrait of whom did Sylvester Stallone have tattooed on his right shoulder?,celebrities,His wife,His daughters,His wife,Marilyn Monroe,Che Guevara
792,What does the Hebrew script running down from Victoria Beckhams neck to her back read?,celebrities,"I am my beloveds, my beloved is mine.",Thou shall not tempt me.,He who increases knowledge increases sorrow.,"I am my beloveds, my beloved is mine.","As ye sew, so shall ye reap."
793,What king of tattoo did Gisele Bundchen get done on the inside of her left wrist?,celebrities,A star,Her mothers initials,A bunny,A star,A strawberry
794,What number did Eva Longoria have tattooed in English on the back of her neck?,celebrities,Nine,Eleven,Nine,Three,Seventeen
795,What cartoon character did Christina Aguilera have tattooed on her lower abdomen?,celebrities,Mickey Mouse,Bugs Bunny,Mickey Mouse,Flounder,Winnie-the-Pooh
796,Alec Baldwin received his first Academy Award nomination for his performance in this 2003 movie.,celebrities,The Cooler,The Aviator,The Cooler,Pearl Harbor,Along Came Polly
797,In what 1997 movie did Alec Baldwin portray ambitious fashion photographer Robert Green?,celebrities,The Edge,The Edge,The Acting Class,Notting Hill,The Confession
798,What animal character did Alec Baldwin voice in the 2008 animated movie Madagascar: Escape 2 Africa?,celebrities,Lion,Zebra,Lemur,Lion,Penguin
799,"In what 2006 Martin Scorsese movie did Alec Baldwin portray Captain George Ellerby, commander of the Special Investigations Unit?",celebrities,The Departed,The Departed,The Edge,The Aviator,Pearl Harbor
800,What Academy Award-winning actress starred opposite Alec Baldwin in the 1996 drama movie Ghosts of Mississippi?,celebrities,Whoopi Goldberg,Oprah Winfrey,Halle Berry,All of these,Whoopi Goldberg
801,Alec Baldwin portrayed a man who dies and turns into a ghost in this 1988 movie.,celebrities,Beetlejuice,Heavens Prisoners,Ghost,Malice,Beetlejuice
802,Who is the director of the 2004 biographical drama movie The Aviator that featured Alec Baldwin among others?,celebrities,Martin Scorsese,Steven Spielberg,Martin Scorsese,Tim Burton,James Cameron
803,Alec Baldwin starred opposite this Hollywood actress in the 1992 romantic fantasy movie Prelude to a Kiss?,celebrities,Meg Ryan,Melanie Griffith,Julia Roberts,Kim Basinger,Meg Ryan
804,What animal did Alec Baldwin voice in the 2001 comedy movie Cats  Dogs?,celebrities,Dog,Mouse,Guinea pig,Dog,Cat
805,In what 2006 spy movie did Alec Baldwin star as FBI Agent Sam Murach?,celebrities,The Good Shepherd,The Last Shot,The Good Shepherd,Mercury Rising,State and Main
806,Tom Cruise received his first Academy Award nomination for his outstanding performance in this 1989 movie.,celebrities,Born on the Fourth of July,Rain Man,Born on the Fourth of July,A Few Good Men,Top Gun
807,In what movie did Tom Cruise portray Dr. Bill Harford?,celebrities,Eyes Wide Shut,Minority Report,Magnolia,Eyes Wide Shut,The Color of Money
808,Tom Cruises performance in the 2005 movie War of the Worlds brought him a nomination for this award.,celebrities,Golden Raspberry Award,Golden Globe Award,All of these,Golden Raspberry Award,Academy Award
809,"What is the occupation of Jerry Maguire, portrayed  by Tom Cruise in the 1996 movie Jerry Maguire?",celebrities,Sports agent,Sports agent,Rugby player,Baseball player,American football coach
810,"What is the offensive title of the book written by Frank T.J. Mackey, played by Tom Cruise, in the 1999 movie Magnolia?",celebrities,Seduce And Destroy,How To Get Laid For Less Money,She Is Only After Your Wallet,The Superior Sex,Seduce And Destroy
811,"How does Tom Cruises character, David Aames, get disfigured in the 2001 movie Vanilla Sky?",celebrities,In a car crash,He was burned with acid as a child.,None of these,In a car crash,His ex-girlfriend cuts his face out of jealousy.
812,What is the name of the character portrayed by Tom Cruise in the Mission: Impossible movie series?,celebrities,Ethan Hunt,Ethan Hawke,Ray Ferrier,Jim Phelps,Ethan Hunt
813,What is the title of the 2003 movie in which Tom Cruise starred as war veteran Captain Nathan Algren?,celebrities,The Last Samurai,The Last Warrior,The Last Soldier,The Last Ninja,The Last Samurai
814,In which 1992 drama movie did Tom Cruise star opposite Jack Nicholson and Demi Moore?,celebrities,A Few Good Men,Mission: Impossible II,A Few Good Men,Top Gun,Born on the Fourth of July
815,What is the nickname of Tom Cruises character in the 1986 movie Top Gun?,celebrities,Maverick,Iceman,Maverick,Cougar,Viper
816,"Duke Ellington was born on April 29, 1899 in which city?",celebrities,"Washington, D.C.","Baltimore, Maryland","Washington, D.C.","Atlanta, Georgia",New York City
817,"This book, published in 1973, is Duke Ellingtons autobiography.",celebrities,Music Is My Mistress,Ellington:In A Mellow Mood,Music Is My Mistress,Sir Duke,The Duke From Baltimore
818,"According to Duke Ellingtons autobiography, his childhood dream was what?",celebrities,To be a baseball player,To play the piano,To play the violin,To be an actor,To be a baseball player
819,Jazz musician Duke Ellington attended which high school?,celebrities,Armstrong Manual Training School,Peebles High School,Armstrong Manual Training School,Grand Valley High School,West Union High School
820,"In 1917, Duke Ellington formed his first music group, named what?",celebrities,The Dukes Serenaders,The Dukes Serenaders,The Orioles,The Moochers,The Washingtonians
821,"In 1927, Duke Ellington and his band, The Washingtonians were offered a permanent job at which famous Harlem club?",celebrities,The Cotton Club,The Hollywood Club,The Cotton Club,The Savoy Ballroom,The Apollo
822,"This composer and pianist wrote Take the A Train, which became the signature tune of Duke Ellington.",celebrities,Billy Strayhorn,Fats Navarro,Fats Waller,Billy Strayhorn,Billie Holiday
823,Which of these is not a famous piece by Duke Ellington?,celebrities,One OClock Jump,One OClock Jump,Mood Indigo,Such Sweet Thunder,Sophisticated Lady
824,Which of these prominent musicians did not play in Duke Ellingtons orchestra?,celebrities,Freddie Green,Sonny Greer,Ray Willis Nance,Harry Carney,Freddie Green
825,"Which statement, concerning the awards and honors received by Duke Ellington, is true?",celebrities,All of these are true,He was awarded the Legion of Honor by France in 1973,He was awarded the Presidential Medal of Freedom,A 22 cent commemorative stamp with his name and picture was issued in 1986,All of these are true
826,When was Gary Cooper born?,celebrities,1901,1931,1941,1901,1921
827,From what disease did Gary Cooper die?,celebrities,Cancer,Cancer,Heart attack,Malaria,Liver infection
828,In which Hall of Fame was Gary Cooper inducted?,celebrities,National Cowboy and Western Heritage Museum,The ASCAP Hal of Fame,The Screen Actors Guild  Hall of Fame,The National Hall of Great Americans,National Cowboy and Western Heritage Museum
829,How did Frank James Cooper become Gary Cooper?,celebrities,"His agent was born in Gary, Indiana.",He was given that name by Ron Howard.,His football coach at UCLA gave him the name.,"Spencer Tracy said, He looks like a Gary.","His agent was born in Gary, Indiana."
830,How many times was Gary Cooper married?,celebrities,Once to a woman not in show  business,"Three times: to Marlene Dietrich, Patricia Neal, and Gloria Swanson",Once to a woman not in show  business,"Four times: to Clara Bow, Evelyn Brent, Carole Lombard, and Ingrid Bergman",Never
834,Gary Cooper starred in A Farewell to Arms and For Whom the Bell Tolls. What do these movies have  in common?,celebrities,They are based on novels by Ernest  Hemingway.,They are based on novels by Ernest  Hemingway.,They both co-starred John Wayne.,They both were directed by Fritz Lang.,They are based on novels by John Steinbeck.
835,1939 has often been described as a banner year for movies. Which of these 1939 movies starred Gary Cooper?,celebrities,Beau Geste,The Wizard of Oz,Beau Geste,Stagecoach,Gone With the Wind
837,Gary Cooper is famous for his portrayal of this athlete.,celebrities,Lou Gehrig,Lou Gehrig,Jim Thorpe,Alvin York,Babe Ruth
838,Gary Cooper appeared at the House Un-American Activities Committee in the 1950s. Which best describes his testimony?,celebrities,He said he feared Communism but did not mention any names.,He named ten writers who were Communists.,He said he feared Communism but did not mention any names.,He said there was no danger from Communism in Hollywood.,He named ten people in Hollywood who were Communists.
839,Gary Cooper was a man of many hobbies. Which of these was one of them?,celebrities,taxidermy,taxidermy,chess,poetry,stamp collecting
840,"Before becoming a star, Gary Cooper was a guide in this US Park.",celebrities,Yosemite,Grand Teton,Yellowstone,Yosemite,Mount Rushmore
841,Find the incorrect statement concerning Gary Cooper.,celebrities,John Wayne learned to ride a horse from Gary Cooper.,Tony Soprano often referred to Gary Cooper as the strong silent  type.,A poster of Cooper was used to help win free elections in Poland.,John Wayne learned to ride a horse from Gary Cooper.,Gary Coopers daughter once spat at the actress Patricia Neal.
842,"By some quirk of  fate, Gary Cooper was distantly related to this actress.",celebrities,Brooke Shields,Brooke Shields,Holly Hunter,Kyra Sedgewick,Michelle Pfeiffer
843,"Five individuals were the regular hosts of this radio theatre program, that ran from 1979-1981. Richard Widmark was the Friday night adventure host.",celebrities,Sears Radio Theatre,Wells Fargo Theatre,RKO,Wagon Train Theatre,Sears Radio Theatre
845,Richard Widmarks daughter was married to this baseball great.,celebrities,Sandy Koufax,Roger Maris,Sandy Koufax,Joe Dimaggio,Mark McGuire
846,"When Richard Widmark married his second wife, he became the step-father to Amy. Amy was the daughter of Susan Blanchard and this actor legend.",celebrities,Henry Fonda,Fred MacMurray,Henry Fonda,Glen Ford,James Stewart
847,Why was Richard Widmark unable to serve in the military during WWII?,celebrities,perforated eardrum,flat feet,perforated eardrum,asthma,poor eyesight
848,"Richard Widmark starred in this movie in the 70s, that was an adaptation of a book by Agatha Christie.",celebrities,Murder on The Orient Express,"And, Then There Were None","One Little, Two Little, Three Little Indians",Darkness Inconvenienced,Murder on The Orient Express
850,In what eastern state was actor Ron Perlman born?,celebrities,New York,Florida,Virginia,Maryland,New York
851,Ron Perlman has done s a lot of voice over work in cartoons and games. Which of the following is not one of his projects?,celebrities,Superman,Lord Terrence Hood,Jagger Valance,Clayface,Superman
853,Ron Perlman played Bernie Marx back in the 70s on this daytime soap opera.,celebrities,Ryans Hope,Knots Landing,Days of Our Lives,General Hospital,Ryans Hope
854,"What movie starring Ron Perlman is this exchange from?\nX: [while stitching up  forearm] How long did he touch you?\nY: I dont know? About 5 seconds?\nX: [pulls three eggs out of his forearm] Touched you five seconds, laid three eggs.\nY: Didnt even buy me a drink.",celebrities,Hellboy,Hellboy,Beauty and the Beast,Alien,The Last Super
857,In which of these films did Ron Perlman co-star with Wesley Snipes?,celebrities,Blade II,Blade II,Blade III,Art of War,Aliens
858,"Microsoft co-founder William Henry Gates III, a.k.a. Bill Gates, was born on October 28, 1955 in this US state.",celebrities,Washington,Arizona,Kentucky,Washington,Delaware
859,"TV host and actress Oprah Winfrey was born on January 29, 1954 in this US state.",celebrities,Mississippi,Minnesota,Michigan,Mississippi,Missouri
860,"In what country was Academy Award winner Robert De Niro born on August 17, 1943?",celebrities,the United States,Germany,the United States,Australia,Italy
861,"Writer Agatha Christie, who became the best-selling author of all time, was born in this country on September 15, 1890.",celebrities,England,Wales,Ireland,England,Scotland
862,"Soccer star David Beckham was born on May 2, 1975 in what English city?",celebrities,London,Birmingham,London,Manchester,Liverpool
863,"Singer and songwriter Celine Dion was born on March 30, 1968 in this country.",celebrities,Canada,Belgium,France,the United States,Canada
864,"The 44th President of the United States Barack Obama was born on August 4, 1961 in this US state.",celebrities,Hawaii,California,Hawaii,Florida,Texas
865,"Legendary actress Greta Garbo was born on September 18, 1905 in this European country.",celebrities,Sweden,Sweden,Switzerland,Finland,Denmark
866,"In what US state was music legend Ray Charles born on September 23, 1930?",celebrities,Georgia,Colorado,Maryland,Georgia,Florida
867,"Hollywood actor Omar Sharif was born on April 10, 1932 in this African country.",celebrities,Egypt,Egypt,Morocco,Libya,South Africa
868,This Baldwin met his future wife on the set of The Marrying Man in 1991.,celebrities,Alec,Alec,William,Daniel,Stephen
869,"Which Baldwin was born May 12, 1966, making him the youngest of the brothers?",celebrities,Stephen,William,Alec,Daniel,Stephen
870,In 1993 this Baldwin was cast in the Baltimore-based cop show Homicide: Life on the Street.,celebrities,Daniel,Alec,Stephen,WIlliam,Daniel
871,"This Baldwin appeared in the 1990 movie Flatliners, as Joe Hurley.",celebrities,William,Daniel,Stephen,Alec,William
874,Which Baldwin starred in the 1996 movie Mulholland Falls with Nick Nolte?,celebrities,Daniel,William,Daniel,Stephen,Alec
876,"In 1960s The Alamo, John Wayne played this famous frontiersman.",celebrities,Colonel Davy Crockett,Colonel William Travis,Colonel Jim Bowe,Colonel Davy Crockett,General Sam Houston
877,Julia Roberts was the first actress to appear on the cover of this popular magazine.,celebrities,Vogue,Elle,Cosmopolitan,Harpers Bazaar,Vogue
878,What was the occupation of Julia Roberts parents when they first met?,celebrities,Actors and playwrights,Actors and playwrights,Professional dancers,Fashion designers,Butchers
879,What musical instrument did Julia Roberts learn to play when she was a student?,celebrities,Clarinet,Flute,Trombone,Clarinet,Violin
880,What was Julia Roberts dream job when she was a little girl?,celebrities,Veterinarian,Model,Astronaut,Singer,Veterinarian
881,"In what movie, released in 1989, did Julia Roberts make her acting debut?",celebrities,Blood Red,Mystic Pizza,Lonely Traveler,Blood Red,Blue Sunrise
882,What disease did Julia Roberts character have in the 1989 dramedy movie Steel Magnolias?,celebrities,Diabetes,Diabetes,Cancer,Tuberculosis,AIDS
883,"What name did Julia Roberts give to her first-born daughter who was born on November 28, 2004, together with her fraternal twin brother?",celebrities,Hazel,Ginger,Hazel,Apple,Coco
884,What famous actor did Julia Roberts date before she married cameraman Daniel Moder?,celebrities,All of these,Liam Neeson,Benjamin Bratt,All of these,Matthew Perry
885,What type of character did Julia Roberts voice in the 2006 computer-animated movie The Ant Bully?,celebrities,A nurse ant,A worker ant,Queen ant,A nurse ant,A little girl
886,What was the name of Julia Roberts character in the 1991 Steven Spielberg movie Hook?,celebrities,Tinker Bell,Wendy Darling,Princess Galathea,Tinker Bell,Medea
887,What is Christopher Walkens real first name?,celebrities,Ronald,George,Ronald,Harry,Edward
888,What did Christopher Walken eat for an entire week in order to prepare for his role in the 1978 movie The Deer Hunter?,celebrities,Rice and bananas,Rice and bananas,Eggs,Steamed broccoli,Chicken and pork
889,In what Madonna video has actor Christopher Walken made an appearance?,celebrities,Bad Girl,Youll See,Bad Girl,Oh Father,All of these
891,Complete the following popular phrase that originated from Chris Walkens performance in an episode of Saturday Night Live:\nGotta have more ...,celebrities,Cowbell,Cowbell,Jackass,Booty,Beehive
892,What character did actor Christopher Walken portray in the 1992 movie Batman Returns?,celebrities,Max Shreck,Chip Shreck,Max Shreck,The Penguin,The Mayor
893,What animated character did Christopher Walken voice in the 1998 animated movie Antz?,celebrities,Colonel Cutter,Colonel Cutter,General Mandible,Z,Weaver
894,In what Denzel Washington movie did Christopher Walken appear as Denzels ex-colleague from CIA?,celebrities,Man on Fire,Man on Fire,The Bone Collector,American Gangster,Training Day
895,"In what movie did Christopher Walken play the role of a World War II veteran and father of Frank Abagnale, Jr.?",celebrities,Catch Me If You Can,Catch Me If You Can,The Opportunists,Last Man Standing,The Funeral
896,"What legendary musician was the main character in the 1995 play Him, written by Christopher Walken?",celebrities,Elvis Presley,John Lennon,Jimi Hendrix,Fred Astaire,Elvis Presley
897,Which state was American actress and singer Hilary Duff born in?,celebrities,Texas,New York,Kansas,California,Texas
898,Which of these is a name of one of Hilary Duffs albums?,celebrities,Most Wanted,Most Wanted,In Love,Broken,Fly
899,"In which of these movies does Hilary co-star with her sister, Haylie Duff?",celebrities,Material Girls,Cadet Kelly,Material Girls,Parent Trap,The Perfect Man
900,When was Hilary Duff born?,celebrities,"September 28th, 1987","October 28th, 1987","August 5th, 1986","November 29th, 1985","September 28th, 1987"
902,"Where is the name of alternative rock band, Weezer derived from?",celebrities,Rivers Cuomos childhood nickname,Rivers Cuomos childhood nickname,The street one of the members lived on,It doesnt mean anything,Patrick Wilsons grandfather
904,"Directed by Spike Jonze, this was the first video of alternative rock band, Weezer.",celebrities,Undone (The Sweater Song),Say it Aint So,Island in the Sun,Undone (The Sweater Song),Buddy Holly
905,"Finish the lyric by American alternative rock band, Weezer:\n\nIf You Want it\nYou can Have it\nAll You have to do is",celebrities,reach out there and grab it,reach out there and grab it,take up a new habit,see it and stab it,meditate about it
906,"What was the first video of the band, Weezer, that Scott Shriner was featured in?",celebrities,Photograph,Keep Fishin,Photograph,Island in the Sun,Dope Nose
907,Who directed the video for Weezers Say It Aint So?,celebrities,Sophie Muller,Mark Romanek,Sophie Muller,Anton Corbijn,Spike Jonze
908,"How many animals and insects are referenced on Weezers second album, Pinkerton?",celebrities,11,3,2,11,7
909,"Michael Jackson was born in this US state on August 29, 1958.",celebrities,Indiana,Virginia,Louisiana,Maryland,Indiana
910,"John F. Kennedy, 35th President of the United States, was born in this US state on May 29, 1917.",celebrities,Massachusetts,Nevada,North Carolina,Utah,Massachusetts
911,"In what US city was Academy Award winner Jane Fonda born on December 21, 1937?",celebrities,New York City,Los Angeles,New York City,Houston,Boston
912,Composer Ludwig van Beethoven was born around 16 December 1770 in this German city.,celebrities,Bonn,Dusseldorf,Bonn,Berlin,Hamburg
913,"In what Latin American country was revolutionary Che Guevara born on June 14, 1928?",celebrities,Argentina,Bolivia,Mexico,Argentina,Cuba
914,"Film legend Charlie Chaplin was born on April 16, 1889 in this country of the United Kingdom.",celebrities,England,Ireland,Wales,Scotland,England
915,"In what US state was The King of Rock n Roll Elvis Presley born on January 8, 1935?",celebrities,Mississippi,Texas,Missouri,South Carolina,Mississippi
916,"In what country was Academy Award-winning actor Anthony Hopkins born on December 31, 1937?",celebrities,Wales,Scotland,England,Wales,Ireland
917,"In what European country was Oscar-winning actress Audrey Hepburn born on May 4, 1929?",celebrities,Belgium,France,England,Belgium,Netherlands
918,"Academy Award winner Tom Hanks was born on July 9, 1956 in this US state.",celebrities,California,Florida,California,New York,Pennsylvania
919,Which statement is true about Will Lee?,celebrities,"He was born in Brooklyn, New York in 1908.","He was born in Philadelphia, PA, in 1922.",He was born in Pittsburgh in 1916.,"He was born in Halifax, Nova Scotia in 1919.","He was born in Brooklyn, New York in 1908."
920,"Of course, Will Lees most famous role was that of Mr. Hooper on Sesame Street. What was Mr. Hoopers first name?",celebrities,Harold,Hector,Harold,Herman,Henry
921,Which member of Sesame Street had a lot of trouble saying Mr. Hooper?,celebrities,Big Bird,Bert,Big Bird,Cookie Monster,Ernie
922,Who ran the store on the childrens show Sesame Street immediately after Mr. Hoopers death?,celebrities,David and Gina,David and Gina,Maria and Luis,Bert and Ernie,Alan and Mary
923,"In episode 335 of Sesame Street, Alan went on vacation. Who ran the store while he was away?",celebrities,Natalie,Natalie,Bob and Kermit,Big Bird,Maria and Luis
925,"Just like many fine American actors, Will Lee was blacklisted from 1951-1956. Who was responsible for the blacklistings?",celebrities,Senator Joseph McCarthy,Alan Dulles,Senator Joseph McCarthy,President Eisenhower,John Foster Dulles
926,In 1953 Will Lee appeared in this great American movie.,celebrities,Little Fugitive,The Farmers Daughter,Little Fugitive,Pickup on South Street,Titanic
927,"In the 1930s, Will Lee was a member of this famous theater group.",celebrities,The Group Theater,The American Repertory Troupe,The Group Theater,The Actors Studio,The Northwestern Actors Theater
928,"In 1980, Will Lee played Shmuel in this movie.",celebrities,Playing for Time,Playing for Time,One Trick Pony,A Small Circle of Friends,Stardust Memories
929,"In what US state was the 43rd President of the United States George W. Bush born on July 6, 1946?",celebrities,Connecticut,Texas,Kentucky,Connecticut,Oregon
930,"In what country was Academy Award winner Katharine Hepburn born on May 12, 1907?",celebrities,United States,Australia,United States,United Kingdom,Canada
931,"Author and poet Oscar Wilde was born in this European country on October 16, 1854.",celebrities,Ireland,Denmark,Ireland,Scotland,England
932,"Albert Einstein was born on March 14, 1879 on the territory of what present day country?",celebrities,Germany,Switzerland,Hungary,Germany,Austria
933,"In what US state was Academy Award winner Meryl Streep born on June 22, 1949?",celebrities,New Jersey,New Jersey,North Carolina,Virginia,Maine
934,"Madonna Louise Ciccone, known as simply Madonna, was born on August 16, 1958 in this country.",celebrities,the United States,Italy,the United States,Mexico,Spain
935,"In what US state was movie director and producer Steven Spielberg born on December 18, 1946?",celebrities,Ohio,Tennessee,Mississippi,Oregon,Ohio
936,"In what country was composer Johann Sebastian Bach born on March 31, 1685?",celebrities,Germany,Switzerland,Germany,Austria,Hungary
937,"African-American civil rights movement leader Martin Luther King, Jr. was born in this US state on January 15, 1929.",celebrities,Georgia,Alabama,Louisiana,Georgia,Illinois
938,"Academy Award winner Dustin Hoffman was born on August 8, 1937 in this US city.",celebrities,Los Angeles,San Francisco,New York,Chicago,Los Angeles
939,What did supermodel Naomi Campbell study in the Italia Conti Academy where she was accepted at the age of 10?,celebrities,Ballet,Fashion design,Acting,Painting,Ballet
940,What popular fashion brand did supermodel Christy Turlington represent from 1987 to 2007?,celebrities,Calvin Klein,Versace,Calvin Klein,Ralph Lauren,Armani
